SubjectName,ChapterName,SourceDocumentName,Question,GroundTruthAnswer,ExpectedKeywords,ExpectedSource
Kiến trúc phần mềm,Chương 3 - Quality Attributes,Chapter_3.pdf,Quality Attributes trong kiến trúc phần mềm là gì? Kể tên các quality attribute quan trọng.,"Quality Attributes (thuộc tính chất lượng) là các yêu cầu phi chức năng ảnh hưởng đến kiến trúc. Các quality attribute quan trọng: Performance (hiệu năng), Scalability (khả năng mở rộng), Availability (tính sẵn sàng), Security (bảo mật), Maintainability (khả năng bảo trì), Modifiability.","quality attributes,performance,scalability,availability,security,maintainability",Chapter_3.pdf - Quality Attributes
Kiến trúc phần mềm,Chương 3 - Quality Attributes,Chapter_3.pdf,Performance trong kiến trúc phần mềm được đo bằng gì?,"Performance được đo bằng: Response time (thời gian phản hồi), Throughput (lượng request xử lý được trong một đơn vị thời gian), Latency (độ trễ) và Resource utilization (mức sử dụng tài nguyên như CPU, RAM).","performance,response time,throughput,latency,resource utilization",Chapter_3.pdf - Performance
Kiến trúc phần mềm,Chương 3 - Quality Attributes,Chapter_3.pdf,Scalability là gì? Phân biệt horizontal và vertical scaling.,"Scalability là khả năng hệ thống xử lý tải tăng lên. Vertical scaling (scale up): tăng cấu hình server hiện tại (thêm CPU, RAM). Horizontal scaling (scale out): thêm nhiều server vào hệ thống. Horizontal scaling thường được ưu tiên trong microservices vì linh hoạt hơn.","scalability,horizontal,vertical,scale up,scale out",Chapter_3.pdf - Scalability
Kiến trúc phần mềm,Chương 3 - Quality Attributes,Chapter_3.pdf,Availability (tính sẵn sàng) được tính như thế nào?,"Availability = Uptime / (Uptime + Downtime). Thường được biểu diễn bằng phần trăm (ví dụ: 99.9% tương đương ~8.7 giờ downtime/năm, 99.99% tương đương ~52 phút/năm). Availability cao đạt được qua redundancy, failover và load balancing.","availability,uptime,downtime,redundancy,failover,load balancing",Chapter_3.pdf - Availability
Kiến trúc phần mềm,Chương 3 - Quality Attributes,Chapter_3.pdf,Modifiability (khả năng thay đổi) ảnh hưởng đến kiến trúc như thế nào?,"Modifiability là khả năng dễ dàng thay đổi hệ thống khi yêu cầu thay đổi. Để đạt Modifiability cao: sử dụng loose coupling (ghép lỏng), high cohesion (gắn kết cao), abstract interfaces và separation of concerns. Kiến trúc có Modifiability cao giảm cost và risk khi thay đổi.","modifiability,loose coupling,high cohesion,abstract,separation of concerns",Chapter_3.pdf - Modifiability
Kiến trúc phần mềm,Chương 4 - Design Patterns,Chapter_4.pdf,Design Pattern là gì? Phân loại Design Pattern theo GoF.,"Design Pattern là giải pháp tái sử dụng cho các vấn đề thiết kế thường gặp. GoF (Gang of Four) phân loại thành 3 nhóm: Creational Patterns (tạo đối tượng - Singleton, Factory, Builder), Structural Patterns (tổ chức cấu trúc - Adapter, Decorator, Facade), Behavioral Patterns (hành vi - Observer, Strategy, Command).","design pattern,creational,structural,behavioral,GoF,singleton,factory",Chapter_4.pdf - Design Patterns
Kiến trúc phần mềm,Chương 4 - Design Patterns,Chapter_4.pdf,Singleton Pattern là gì? Khi nào sử dụng?,"Singleton Pattern đảm bảo một class chỉ có một instance duy nhất trong toàn bộ ứng dụng và cung cấp điểm truy cập global. Sử dụng khi cần: quản lý kết nối database, logging, configuration manager. Cần cẩn thận với thread safety trong môi trường đa luồng.","singleton,instance,global,thread safety,database connection",Chapter_4.pdf - Singleton
Kiến trúc phần mềm,Chương 4 - Design Patterns,Chapter_4.pdf,Observer Pattern hoạt động như thế nào?,"Observer Pattern định nghĩa mối quan hệ one-to-many: khi một đối tượng (Subject) thay đổi trạng thái, tất cả các đối tượng phụ thuộc (Observers) được thông báo và cập nhật tự động. Pattern này hỗ trợ loose coupling giữa Subject và Observer.","observer,subject,one-to-many,notify,loose coupling,event",Chapter_4.pdf - Observer Pattern
Kiến trúc phần mềm,Chương 4 - Design Patterns,Chapter_4.pdf,Repository Pattern là gì và lợi ích của nó?,"Repository Pattern tạo lớp trừu tượng (abstraction layer) giữa business logic và data access logic. Repository đóng gói logic truy cập database, giúp code business logic không phụ thuộc vào implementation cụ thể của database. Lợi ích: dễ kiểm thử (mock repository), dễ thay đổi database.","repository,abstraction,data access,business logic,mock,database",Chapter_4.pdf - Repository Pattern
Kiến trúc phần mềm,Chương 4 - Design Patterns,Chapter_4.pdf,Factory Pattern là gì? Phân biệt Factory Method và Abstract Factory.,"Factory Method định nghĩa interface để tạo đối tượng, để subclass quyết định class nào được tạo. Abstract Factory cung cấp interface để tạo ra nhóm đối tượng liên quan (family of objects) mà không chỉ định class cụ thể. Abstract Factory mạnh hơn vì tạo ra nhiều loại đối tượng liên quan.","factory,factory method,abstract factory,interface,object creation",Chapter_4.pdf - Factory Pattern
Kiến trúc phần mềm,Chương 5 - Component Diagram,Chapter_5.pdf,Component Diagram trong UML biểu diễn gì?,"Component Diagram trong UML biểu diễn cấu trúc vật lý và tổ chức của hệ thống phần mềm, bao gồm các component (thành phần phần mềm), interface mà chúng cung cấp (provided interface) và giao diện mà chúng cần (required interface), cùng với mối quan hệ phụ thuộc giữa chúng.","component diagram,UML,component,provided interface,required interface,dependency",Chapter_5.pdf - Component Diagram
Kiến trúc phần mềm,Chương 5 - Component Diagram,Chapter_5.pdf,Interface trong Component Diagram là gì?,"Interface là hợp đồng (contract) định nghĩa tập hợp các operation mà một component cung cấp hoặc cần. Provided interface (lollipop symbol) là interface component cung cấp cho các component khác. Required interface (socket symbol) là interface component cần từ component khác.","interface,contract,provided,required,lollipop,socket",Chapter_5.pdf - Interface
Kiến trúc phần mềm,Chương 5 - Component Diagram,Chapter_5.pdf,Deployment Diagram biểu diễn gì?,"Deployment Diagram biểu diễn cách phần mềm được triển khai lên phần cứng vật lý (physical hardware). Diagram bao gồm: Node (server, device), Artifact (file .exe, .jar, .war), Association (kết nối mạng), Deployment specification. Nó giúp hiểu cơ sở hạ tầng hệ thống.","deployment diagram,node,artifact,hardware,server,infrastructure",Chapter_5.pdf - Deployment Diagram
Kiến trúc phần mềm,Chương 5 - Component Diagram,Chapter_5.pdf,Connector trong Component Diagram là gì?,"Connector kết nối các component và thể hiện sự giao tiếp giữa chúng. Delegation connector nối component bên ngoài với component bên trong. Assembly connector nối required interface của một component với provided interface của component khác.","connector,delegation,assembly,communication,component",Chapter_5.pdf - Connector
Kiến trúc phần mềm,Chương 6 - Architectural Decision,Chapter_6.pdf,Architecture Decision Record (ADR) là gì?,"Architecture Decision Record (ADR) là tài liệu ghi lại các quyết định kiến trúc quan trọng, bao gồm: bối cảnh quyết định, các lựa chọn được xem xét, quyết định cuối cùng và lý do tại sao. ADR giúp team hiểu lý do đằng sau các quyết định kiến trúc và tránh lặp lại thảo luận cũ.","ADR,architecture decision,context,decision,consequence,rationale",Chapter_6.pdf - ADR
Kiến trúc phần mềm,Chương 6 - Architectural Decision,Chapter_6.pdf,Trade-off trong kiến trúc phần mềm là gì?,"Trade-off là sự đánh đổi giữa các quality attribute - cải thiện một thuộc tính có thể làm giảm thuộc tính khác. Ví dụ: tăng Security thường làm giảm Performance; tăng Availability đòi hỏi chi phí cao hơn; tăng Modifiability có thể làm giảm Performance.","trade-off,quality attribute,security,performance,availability,cost",Chapter_6.pdf - Trade-offs
Kiến trúc phần mềm,Chương 6 - Architectural Decision,Chapter_6.pdf,ATAM (Architecture Tradeoff Analysis Method) là gì?,"ATAM là phương pháp đánh giá kiến trúc phần mềm, tập trung vào phân tích trade-off giữa các quality attribute. ATAM xác định: utility tree (cây tiện ích), sensitivity points (điểm nhạy cảm), tradeoff points và risk/non-risk. Mục đích là tìm ra các rủi ro kiến trúc sớm.","ATAM,trade-off analysis,utility tree,sensitivity,risk,quality attribute",Chapter_6.pdf - ATAM
Kiến trúc phần mềm,Chương 7 - REST và API,Chapter_7.pdf,REST API là gì? Các ràng buộc của REST?,"REST (Representational State Transfer) là architectural style cho hệ thống phân tán. 6 ràng buộc REST: Client-Server, Stateless (không lưu trạng thái), Cacheable, Uniform Interface, Layered System, Code on Demand (tùy chọn). RESTful API sử dụng HTTP methods: GET, POST, PUT, DELETE.","REST,stateless,client-server,uniform interface,HTTP,GET,POST,PUT,DELETE",Chapter_7.pdf - REST API
Kiến trúc phần mềm,Chương 7 - REST và API,Chapter_7.pdf,Stateless trong REST có nghĩa là gì?,"Stateless có nghĩa là mỗi request từ client phải chứa đầy đủ thông tin để server xử lý, không phụ thuộc vào trạng thái từ request trước. Server không lưu session state của client. Lợi ích: dễ scale, dễ debug, nhưng nhược điểm là mỗi request có thể phải gửi nhiều data hơn.","stateless,session,request,scale,server",Chapter_7.pdf - Stateless
Kiến trúc phần mềm,Chương 7 - REST và API,Chapter_7.pdf,HTTP Status Code phổ biến trong REST API là gì?,"Các HTTP status code quan trọng: 200 OK (thành công), 201 Created (tạo mới thành công), 400 Bad Request (request không hợp lệ), 401 Unauthorized (chưa xác thực), 403 Forbidden (không có quyền), 404 Not Found (không tìm thấy), 500 Internal Server Error (lỗi server).","HTTP,status code,200,201,400,401,403,404,500",Chapter_7.pdf - HTTP Status Codes
Kiến trúc phần mềm,Chương 7 - REST và API,Chapter_7.pdf,API Gateway là gì? Vai trò trong Microservices?,"API Gateway là entry point duy nhất cho tất cả client requests trong hệ thống microservices. Chức năng: định tuyến (routing), load balancing, authentication, rate limiting, caching, logging. API Gateway giúp client không cần biết địa chỉ của từng microservice.","API gateway,entry point,routing,load balancing,authentication,rate limiting,microservices",Chapter_7.pdf - API Gateway
Kiến trúc phần mềm,Chương 8 - Cloud Architecture,Chapter_8.pdf,Cloud Computing service models là gì?,"Ba service model chính: IaaS (Infrastructure as a Service) - cung cấp hạ tầng ảo (server, storage, network); PaaS (Platform as a Service) - cung cấp nền tảng để develop/deploy app; SaaS (Software as a Service) - cung cấp phần mềm qua internet. Ví dụ: AWS EC2 (IaaS), Heroku (PaaS), Gmail (SaaS).","IaaS,PaaS,SaaS,cloud,infrastructure,platform,software",Chapter_8.pdf - Cloud Models
Kiến trúc phần mềm,Chương 8 - Cloud Architecture,Chapter_8.pdf,Container và Docker là gì?,"Container là đơn vị phần mềm đóng gói code và các dependency để ứng dụng chạy nhất quán trên mọi môi trường. Docker là nền tảng container phổ biến nhất. Container nhẹ hơn VM vì chia sẻ OS kernel, khởi động nhanh và dễ di chuyển giữa các môi trường.","container,docker,VM,virtualization,environment,dependency,image",Chapter_8.pdf - Container
Kiến trúc phần mềm,Chương 8 - Cloud Architecture,Chapter_8.pdf,Kubernetes là gì? Tại sao cần Kubernetes?,"Kubernetes (K8s) là hệ thống orchestration để quản lý container tự động. Kubernetes giải quyết: tự động deploy và scale container, load balancing, self-healing (khởi động lại container lỗi), rolling updates. Cần Kubernetes khi hệ thống có nhiều container cần quản lý phức tạp.","kubernetes,k8s,orchestration,container,auto-scaling,self-healing,rolling update",Chapter_8.pdf - Kubernetes
Kiến trúc phần mềm,Chương 8 - Cloud Architecture,Chapter_8.pdf,CI/CD là gì?,"CI (Continuous Integration) là thực hành tích hợp code thường xuyên vào nhánh chính, có chạy test tự động. CD (Continuous Delivery/Deployment) là quá trình tự động deliver code đến môi trường production sau khi pass CI. CI/CD giúp phát hiện lỗi sớm và tăng tốc độ release.","CI/CD,continuous integration,continuous delivery,automation,pipeline,test,deploy",Chapter_8.pdf - CI/CD
Kiến trúc phần mềm,Chương 9 - Security,Chapter_9.pdf,Authentication và Authorization khác nhau thế nào?,"Authentication (xác thực) là quá trình xác minh danh tính người dùng (Who are you?) - ví dụ: đăng nhập bằng username/password. Authorization (phân quyền) là xác định quyền hạn của người dùng đã xác thực (What can you do?) - ví dụ: chỉ admin mới xóa được dữ liệu.","authentication,authorization,identity,permission,access control,login",Chapter_9.pdf - Auth
Kiến trúc phần mềm,Chương 9 - Security,Chapter_9.pdf,JWT (JSON Web Token) hoạt động như thế nào?,"JWT là chuẩn token để truyền thông tin an toàn. JWT gồm 3 phần: Header (thuật toán mã hóa), Payload (dữ liệu người dùng và claims), Signature (chữ ký xác minh tính toàn vẹn). Server tạo JWT khi login, client gửi JWT trong mỗi request, server verify signature để xác thực.","JWT,header,payload,signature,token,authentication,stateless",Chapter_9.pdf - JWT
Kiến trúc phần mềm,Chương 9 - Security,Chapter_9.pdf,HTTPS và TLS là gì?,"HTTPS là HTTP + TLS (Transport Layer Security). TLS mã hóa dữ liệu truyền giữa client và server, đảm bảo: Confidentiality (bí mật - không ai đọc được nội dung), Integrity (toàn vẹn - không bị sửa đổi), Authentication (xác thực server qua certificate). HTTPS sử dụng cổng 443.","HTTPS,TLS,encryption,certificate,confidentiality,integrity,authentication",Chapter_9.pdf - HTTPS TLS
Kiến trúc phần mềm,Chương 9 - Security,Chapter_9.pdf,SQL Injection là gì và cách phòng tránh?,"SQL Injection là kỹ thuật tấn công bằng cách chèn SQL code độc hại vào input để thao túng database. Cách phòng tránh: sử dụng parameterized queries / prepared statements, ORM, input validation, nguyên tắc least privilege cho database account.","SQL injection,parameterized query,prepared statement,ORM,input validation,security",Chapter_9.pdf - SQL Injection
Kiến trúc phần mềm,Chương 10 - Database Architecture,Chapter_10.pdf,CAP Theorem là gì?,"CAP Theorem phát biểu: trong hệ thống phân tán, chỉ có thể đảm bảo 2 trong 3 thuộc tính: Consistency (dữ liệu nhất quán), Availability (luôn phản hồi), Partition Tolerance (hoạt động dù có network partition). Vì network partition là thực tế, hệ thống phải chọn giữa CP hoặc AP.","CAP theorem,consistency,availability,partition tolerance,distributed system",Chapter_10.pdf - CAP Theorem
Kiến trúc phần mềm,Chương 10 - Database Architecture,Chapter_10.pdf,ACID properties trong database là gì?,"ACID là 4 thuộc tính của database transaction: Atomicity (toàn bộ transaction thành công hoặc rollback), Consistency (dữ liệu luôn hợp lệ trước và sau transaction), Isolation (các transaction độc lập nhau), Durability (dữ liệu được lưu vĩnh viễn sau commit). Đây là nền tảng của SQL database.","ACID,atomicity,consistency,isolation,durability,transaction,SQL",Chapter_10.pdf - ACID
Kiến trúc phần mềm,Chương 10 - Database Architecture,Chapter_10.pdf,SQL và NoSQL khác nhau thế nào?,"SQL (Relational DB): dữ liệu có schema cố định, quan hệ giữa bảng, hỗ trợ JOIN, ACID transaction, ví dụ: MySQL, PostgreSQL. NoSQL: schema linh hoạt, horizontal scale tốt hơn, nhiều loại (document, key-value, graph, column). Chọn SQL khi cần ACID; NoSQL khi cần scale lớn và schema thay đổi.","SQL,NoSQL,schema,ACID,horizontal scale,relational,document,key-value",Chapter_10.pdf - SQL vs NoSQL
Kiến trúc phần mềm,Chương 10 - Database Architecture,Chapter_10.pdf,Database Sharding là gì?,"Database Sharding là kỹ thuật chia nhỏ database thành nhiều phần (shard) và phân phối chúng trên nhiều server. Mỗi shard chứa một phần dữ liệu, giảm tải cho từng server. Sharding giúp horizontal scaling nhưng phức tạp hơn trong việc quản lý và thực hiện queries phức tạp.","sharding,shard,horizontal scaling,partition,database,distribute",Chapter_10.pdf - Sharding
Kiến trúc phần mềm,Chương 11 - Message Queue,Chapter_11.pdf,Message Queue là gì? Ví dụ sử dụng?,"Message Queue là middleware cho phép các component giao tiếp bất đồng bộ (asynchronously) thông qua hàng đợi tin nhắn. Producer gửi message vào queue, Consumer đọc và xử lý. Ví dụ: RabbitMQ, Kafka. Sử dụng khi cần: decoupling service, xử lý bất đồng bộ, buffer load đột biến.","message queue,producer,consumer,asynchronous,RabbitMQ,Kafka,decoupling",Chapter_11.pdf - Message Queue
Kiến trúc phần mềm,Chương 11 - Message Queue,Chapter_11.pdf,Kafka khác gì so với RabbitMQ?,"Kafka là distributed event streaming platform, lưu message vĩnh viễn và hỗ trợ replay, throughput rất cao, phù hợp với big data và event sourcing. RabbitMQ là message broker truyền thống, message bị xóa sau khi consumer đọc, dễ dùng hơn, phù hợp với task queue và routing phức tạp.","kafka,rabbitmq,message broker,event streaming,throughput,replay",Chapter_11.pdf - Kafka vs RabbitMQ
Kiến trúc phần mềm,Chương 12 - Caching,Chapter_12.pdf,Cache là gì? Các chiến lược caching phổ biến?,"Cache là bộ nhớ tạm lưu dữ liệu thường xuyên truy cập để tăng tốc độ. Chiến lược phổ biến: Cache-aside (app tự quản lý cache), Write-through (ghi đồng thời vào cache và DB), Write-behind (ghi vào cache trước, DB sau), Read-through (cache tự load từ DB khi miss).","cache,cache-aside,write-through,write-behind,read-through,Redis,performance",Chapter_12.pdf - Caching
Kiến trúc phần mềm,Chương 12 - Caching,Chapter_12.pdf,Cache invalidation là gì? Tại sao đây là vấn đề khó?,"Cache invalidation là quá trình xóa hoặc cập nhật cache khi dữ liệu gốc thay đổi. Đây là vấn đề khó vì: nếu invalidate quá sớm thì cache miss nhiều (giảm hiệu quả), nếu quá muộn thì cache trả dữ liệu cũ (stale data). Strategies: TTL (time-to-live), event-based invalidation, cache versioning.","cache invalidation,stale,TTL,consistency,cache miss",Chapter_12.pdf - Cache Invalidation
Kiến trúc phần mềm,Chương 13 - Load Balancing,Chapter_13.pdf,Load Balancing là gì? Các thuật toán load balancing phổ biến?,"Load Balancing phân phối traffic đến nhiều server để tránh quá tải. Thuật toán phổ biến: Round Robin (lần lượt theo vòng), Least Connections (chọn server ít kết nối nhất), IP Hash (cùng IP → cùng server), Weighted Round Robin (ưu tiên server mạnh hơn). Nginx, HAProxy là load balancer phổ biến.","load balancing,round robin,least connections,IP hash,weighted,nginx,HAProxy",Chapter_13.pdf - Load Balancing
Kiến trúc phần mềm,Chương 13 - Load Balancing,Chapter_13.pdf,Reverse Proxy là gì?,"Reverse Proxy nằm giữa client và server, nhận request từ client và chuyển tiếp đến server phù hợp. Reverse Proxy thực hiện: load balancing, SSL termination, caching, compression, bảo vệ server backend khỏi bị lộ trực tiếp. Nginx thường được dùng làm reverse proxy.","reverse proxy,nginx,load balancing,SSL termination,backend,forward proxy",Chapter_13.pdf - Reverse Proxy
Kiến trúc phần mềm,Chương 14 - Testing,Chapter_14.pdf,Các loại testing trong phát triển phần mềm là gì?,"Các loại testing: Unit Test (kiểm thử từng unit/function độc lập), Integration Test (kiểm thử tích hợp giữa các component), System Test (kiểm thử toàn hệ thống), Acceptance Test (kiểm thử người dùng), Performance Test (kiểm thử hiệu năng), Security Test. Testing pyramid: nhiều unit test, ít integration test, rất ít E2E test.","unit test,integration test,system test,acceptance test,performance test,testing pyramid",Chapter_14.pdf - Testing Types
Kiến trúc phần mềm,Chương 14 - Testing,Chapter_14.pdf,TDD (Test-Driven Development) là gì?,"TDD là phương pháp phát triển phần mềm: viết test trước khi viết code. Chu trình Red-Green-Refactor: Red (viết test thất bại), Green (viết code tối thiểu để test pass), Refactor (cải thiện code). TDD giúp design tốt hơn, coverage cao, và phát hiện lỗi sớm.","TDD,test-driven,red-green-refactor,unit test,design",Chapter_14.pdf - TDD
Kiến trúc phần mềm,Chương 15 - Agile,Chapter_15.pdf,Scrum là gì? Các artifact và ceremony chính?,"Scrum là Agile framework với Sprint ngắn (1-4 tuần). Artifacts: Product Backlog, Sprint Backlog, Increment. Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective. Roles: Product Owner, Scrum Master, Development Team. Scrum giúp deliver value nhanh và linh hoạt với yêu cầu thay đổi.","Scrum,sprint,product backlog,sprint planning,daily scrum,retrospective,agile",Chapter_15.pdf - Scrum
Kiến trúc phần mềm,Chương 15 - Agile,Chapter_15.pdf,Kanban Board là gì?,"Kanban Board là công cụ trực quan hóa workflow, thường có các cột: To Do, In Progress, Done. Kanban giới hạn Work In Progress (WIP) để tránh multitasking quá nhiều. Khác với Scrum, Kanban không có sprint cố định mà là luồng liên tục (continuous flow). Thường dùng Trello, Jira để tạo Kanban Board.","kanban,board,WIP,workflow,continuous flow,to do,in progress,done",Chapter_15.pdf - Kanban
